frequency	scaterring_180	initial
2000	1.5086794993023183e-05	2.7828739645233996e-07
2081	4.786614329958019e-05	3.310541192151465e-07
2162	1.410715157746915e-05	3.917176967556534e-07
2243	1.1417469377441151e-05	4.6122852880359166e-07
2324	1.618068611859614e-05	5.406394167625339e-07
2405	2.2007006688491843e-05	6.31117522684182e-07
2486	2.897537437664318e-05	7.339557272782176e-07
2567	3.7016415666455336e-05	8.505963987267209e-07
2648	4.5821340901810545e-05	9.826371439330738e-07
2729	5.4861354605377196e-05	1.1318583403207853e-06
2810	6.343827584367788e-05	1.300244275825433e-06
2891	7.077621543649746e-05	1.4900094019233301e-06
2972	7.615808966888832e-05	1.7036284663900932e-06
3053	7.90965422102357e-05	1.94387117436309e-06
3134	7.951194755149441e-05	2.2138421485869416e-06
3215	7.787640962983114e-05	2.5170271076305732e-06
3296	7.52789213212841e-05	2.8573463605138404e-06
3377	7.33777524906254e-05	3.2392169349003165e-06
3458	7.423075303419835e-05	3.6676249234857164e-06
3539	8.00248170379718e-05	4.148209961090734e-06
3620	9.275256403178343e-05	4.687364148716871e-06
3701	0.00011389769670992007	5.292348239611221e-06
3782	0.0001441856841936355	5.971428520999055e-06
3863	0.00018343437839043808	6.7340385955084855e-06
3944	0.00023050837536622214	7.590971229270754e-06
4025	0.00028335679444981904	8.554606642851726e-06
4106	0.0003391141639759963	9.63918514532604e-06
4187	0.00039427640481590496	1.0861133942091364e-05
4268	0.0004450181872363221	1.2239460401866577e-05
4349	0.00048776069363241334	1.3796227204925916e-05
4430	0.0005200817418891902	1.5557128820195458e-05
4511	0.0005419145562510044	1.7552193949511772e-05
4592	0.000556490688151533	1.981664530067247e-05
4673	0.0005684699938706642	2.2391956799400258e-05
4754	0.0005682049237915897	2.5327159783532444e-05
4835	0.00048814301516928826	2.8680464727711154e-05
4916	0.00031013003691941456	3.252128481403618e-05
4997	0.00024445502136191937	3.6932773790957766e-05
5078	0.00032449242504532967	4.2015025180137235e-05
5159	0.0005038669599216052	4.7889125816753874e-05
5240	0.0008426173753912477	5.470231760609153e-05
5321	0.001471745849215212	6.263460187209373e-05
5402	0.002285769824371033	7.190722629261636e-05
5483	0.0024192636378063165	8.279363108232718e-05
5564	0.0019069079695134632	9.563360350970297e-05
5645	0.0017466355960842751	0.0001108515974767479
5726	0.0014571144106153928	0.00012898040267954113
5807	0.0013166581430536957	0.00015069154593698328
5888	0.001227291756299835	0.00017683384816913228
5969	0.0011221105726797896	0.00020848115143549882
6050	0.0009705650725145215	0.0002469887393519148
6131	0.0007691915492974879	0.0002940541016284914
6212	0.0005361965901587382	0.0003517689057473699
6293	0.00030714385674633274	0.0004226307612059523
6374	0.00012835457705246542	0.0005094484260660967
6455	4.063672692669741e-05	0.000615014722526494
6536	4.2115493461115285e-05	0.0007413406821065381
6617	5.57326933878616e-05	0.0008881922039656859
6698	1.717027064088151e-05	0.001050814626471692
6779	7.74343056356643e-06	0.0012173922695341945
6860	8.227408196211955e-05	0.0013681252040426662
6941	0.00014299868608596007	0.001478778080183462
7022	0.00011533760924882542	0.001529505913717943
7103	5.0662168971173036e-05	0.0015141660917384417
7184	2.0192594753863217e-05	0.0014426096933721011
7265	1.2963188409793456e-05	0.0013343413499450952
7346	1.962910184052328e-05	0.0012095418414105744
7427	6.985438026205067e-05	0.0010834475848037488
7508	0.00017522457665496556	0.000965151522778995
7589	0.0003090412229761412	0.000858860331846442
7670	0.0004283754040808064	0.0007656869383197424
7751	0.000498897701261083	0.0006850905533812893
7832	0.0005087679085434141	0.0006157990785077002
7913	0.000468422041319987	0.0005563235924933077
7994	0.000399503718169772	0.0005052135004167716
8075	0.00032339005504495997	0.00046116516889802684
8156	0.00025686407049285145	0.0004230546301949804
8237	0.00021365473218056856	0.0003899342665319528
8318	0.00020537749490938883	0.00036101456798726025
8399	0.00023951000052103107	0.0003356414628511861
8480	0.0003159641419390265	0.00031327407077645224
8561	0.0004257728403971169	0.00029346484649612255
8642	0.000553382190078393	0.0002758426791219728
8723	0.00068103933627969	0.0002600988750242583
8804	0.000792244410258049	0.00024597569882760397
8885	0.0008729379688223955	0.00023325707776199265
8966	0.0009116195733368162	0.00022176108787844658
9047	0.0008998478404400764	0.00021133388610402272
9128	0.0008342673225407129	0.0002018448057940911
9209	0.0007189548407647871	0.00019318238471462593
9290	0.0005668136371413394	0.00018525113920241757
9371	0.0003986631707955122	0.00017796893566588218
9452	0.00023976976740108354	0.0001712648410262391
9533	0.00011595838760223193	0.0001650773580853404
9614	5.006814796841849e-05	0.0001593529711740143
9695	5.939342501145762e-05	0.00015404494274196405
9776	0.00015329003405898758	0.00014911231362224833
9857	0.00033014598601076273	0.00014451906922049394
9938	0.0005746334273912067	0.0001402334413879725
10019	0.0008582462234207482	0.0001362273216731771
